grch37Isoform	grch37RefSeq	grch38Isoform	grch38RefSeq	entrezGeneId	hugoSymbol	oncogene	highestSensitiveLevel	highestResistanceLevel	summary	background	tsg
ENST00000505374	NM_024415.2	ENST00000505374	NM_024415.2	54514	DDX4	True			DDX4, an RNA helicase, is altered by overexpression in ovarian cancers.	DDX4 (also VASA) is an RNA helicase that is a member of the DEAD box protein family (PMID: 28612512). Expression of DDX4 is localized predominantly in migratory primordial germ cells, and DDX4 is important for embryonic patterning and germline specification (PMID: 10920202, 11178242, 11178242). More specifically, DDX4 may be a marker of oocyte precursor cells (PMID: 26444630, 22366948, 29725036); however, this result is controversial (PMID: 32123174). DDX4 interacts with the general translation factor eIF5B and mediates translation of many mRNAs involved in germline specification and maintenance (PMID: 10920202, 16630817, 28612512). The eIF5B-DDX4 interaction facilitates ATP hydrolysis and specific RNA unwinding functions, which may be suitable for RNAs with specific structures (PMID: 16630817). Transient DDX4 expression has also been found in the context of regeneration in somatic cells or during wound healing (PMID: 27179696). The activity of DDX4 is also implicated in the transport of PIWI RNAs to the cytoplasm in germ cells, which is important for the suppression of transposable elements (PMID: 28612512, 23587717). DDX4 expression has been found in ovarian cancer cell lines and tissues (PMID: 27179696, 29963162, 29078734, 28245464). Overexpression of DDX4 in cell lines results in aberrant cell cycle progression, resulting in increased cellular proliferation (PMID: 28612512, 29963162). These abnormal proliferative cellular functions have been associated with dysregulation of PIWI, CCNB1 and E2F1 during cell cycle progression in loss-of-function studies (PMID: 28612512). In addition, DDX4 has been found to bind mitotic spindles in cancer cells and has a role in mediating cellular migration (PMID: 28612512).	False
ENST00000507955	NM_016222.2	ENST00000330503	NM_016222.4	51428	DDX41	False			DDX41, an RNA helicase involved in innate immunity, is recurrently altered by mutation in hematopoietic malignancies.	DDX41 is an RNA helicase that is a member of the DEAD-box protein family (PMID: 27502187). RNA helicases have diverse cellular functions including roles in RNA metabolism, immune response and viral infection (PMID: 27502187). In dendritic cells, DDX41 functions as a DNA sensor that recognizes double-stranded DNA or cyclic diguanylate monophosphate (c-di-GMP), which are byproducts released during viral or bacterial infection (PMID: 27502187, 21892174). DDX41 activity regulates the STING pathway, which is important in innate immunity (PMID: 27502187, 28602976, 27721487, 25704810, 23142775). The STING pathway activates type I interferon responses mediated by TBK, IRF1, and NFKB, which are critical for mounting an appropriate response to DNA viruses (PMID: 27502187, 27721487, 25609843). In addition to the role of DDX41 in innate immunity, DDX41 associates with spliceosome proteins and has been implicated in mRNA processing and splicing (PMID: 25920683). Finally, DDX41 may also play a role in the suppression of R-loop formation, which increases the risk for replication stress and double-strand breaks (PMID: 34916496). Germline loss-of-function mutations in DDX41 are found in families with a predisposition for hematopoietic malignancies, such as myelodysplastic syndromes (MDS) and acute myeloid leukemia (AML) (PMID: 25920683, 26712909, 31484648, 31713024). A highly specific molecular feature of hematologic malignancies in germline mutation carriers is the acquisition of a somatic mutation on the other DDX41 allele, suggesting that DDX41 likely functions as a tumor suppressor (PMID: 26712909, 37874914). In addition, individuals with a 5q deletion, a recurrent genetic event in myeloid malignancies, exhibit haploinsufficient expression of DDX41 (PMID: 25920683). DDX41 germline alterations commonly, but not exclusively, occur in the DEAD box/ATP-binding and RecA-like helicase C domains, consistent with the importance of ATP binding in DNA sensing (PMID: 27721487). Lenalidomide sensitivity has been reported in patients with DDX41-mutant myeloid malignancies (PMID: 31400013, 25920683).	True
ENST00000225792	NM_004396	ENST00000225792	NM_004396	1655	DDX5	True			DDX5, a DEAD-box RNA helicase, is infrequently altered in cancer.	DDX5, a member of the DEAD-box family, encodes for an RNA helicase that functions in the regulation of cellular processes through remodeling RNA secondary structures during transcription and pre-mRNA maturation (PMID: 32376686). DDX5 interacts with various different genes, including TP53 and CTCF, to mediate transcriptional regulation in response to DNA damage (PMID: 22986526, 20966046). DDX5 activates signaling pathways, including the WNT, AKT and mTOR pathways, to regulate cell proliferation, cell cycle control and glucose metabolism (PMID: 28411202). Overexpression of DDX5 in various cancer cell lines and models induces cellular proliferation and tumorigenesis, suggesting that DDX5 functions predominantly as an oncogene (PMID: 28216662, 26212035, 22750847). DDX5 amplification has been identified in various types of cancer, including breast cancer and non-small cell lung cancer (PMID: 22750847, 26212035). DDX5 expression is a potential therapeutic target with preclinical studies investigating the efficacy of anti-DDX5 inhibitors in various types of cancer (PMID: 27148684, 28244855).	False
ENST00000397239	NM_003472.3	ENST00000652689	NM_003472.4	7913	DEK	True			DEK, a DNA binding and chromatin regulatory protein, is recurrently altered by chromosomal rearrangement in acute myeloid leukemia.	DEK is a nuclear protein with roles in DNA binding and chromatin regulation (PMID: 25524609). DEK is ubiquitously expressed and modifies chromatin by altering the superhelical density of DNA, introducing positive supercoils to alter DNA structure (PMID: 11997399, 10837023). DEK also interacts with the chromatin-modifying enzyme p300 and PCAF in order to maintain heterochromatin state and influence gene expression (PMID: 16696975, 21460035). In addition to regulating epigenetic state, DEK facilitates cellular proliferation by resolving conditions of DNA replication stress at the replication fork (PMID: 25347734). DEK forms a complex with the DNA repair protein RAD51 and is a critical mediator of non-homologous end joining (NHEJ) (PMID: 28317934). Loss of DEK expression results in genome instability and sensitivity to DNA damaging agents (PMID: 28317934). DEK is also required for other cellular functions including mRNA splicing, apoptosis, and chemoresistance, among others (PMID: 19679545, 28317934). DEK is overexpressed in several tumor types including breast cancer, colorectal cancer, small cell lung cancer, among others, and increased DEK expression is linked to poor patient prognosis (PMID: 25197373, 23902796, 21663673, 25544761, 24608431). Recurrent DEK rearrangements are found in patients with acute myeloid leukemia which result in increased DEK expression, suggesting that DEK functions predominantly as an oncogene (PMID: 25524609).	False
ENST00000336812	NM_001358.2	ENST00000336812	NM_001358.3	1665	DHX15	False			DHX15, an RNA helicase, is infrequently altered in various cancers.	DHX15 is an RNA helicase that plays a key role in spliceosome disassembly and in splicing quality control by repressing suboptimal introns (PMID: 9342317, 37805921, 37805921). Beyond its multiple functions in RNA processing, the protein also contributes to the innate immune response by inducing interferon and cytokine production in response to RNA viral infections (PMID: 34161762, 24990078, 31090472, 26494172, 24782566). In cancer, DHX15 has been implicated in the progression of acute myeloid leukemia, hepatocellular carcinoma, prostate cancer and glioma (PMID: 29163777, 30339968, 28991234, 28829764). DHX15 promotes the development of vasculature needed to support tumor growth as observed in a subcutaneous xenograft model using hepatocellular carcinoma cells (PMID: 38612527). However, its oncogenic effects may be tissue-dependent as mice subcutaneously injected with glioma cell lines overexpressing DHX15 showed reduced tumor volume compared to control glioma cells, with this tumor suppressive effect contingent on intact RNA-binding domains but not ATPase activity (PMID: 28829764).	False
ENST00000393063	NM_177438.2	ENST00000393063	NM_177438.2	23405	DICER1	False			DICER1, an endoribonuclease, is altered in various cancer types.	DICER1 is an endoribonuclease that catalyzes the cleavage of large RNA molecules into silencing RNAs or microRNAs. In addition, DICER1 loads siRNA onto the Argonaute protein and mediates the binding of co-factors to initiate RNA-induced silencing (PMID: 25176334). In this way, DICER1 plays a pivotal role in the post-transcriptional regulation of gene expression (PMID: 25176334). Germline mutations in DICER1 are associated with DICER1-related disorders, a familial tumor susceptibility syndrome that confers increased risk most commonly for pleuropulmonary blastoma (PPB), cystic nephroma (CN), rhabdomyosarcoma (RMS), multinodular goiter, ovarian Sertoli-Leydig cell tumor and other neoplastic conditions (PMID: 19556464, 21266384, 21882293, 24761742). The majority of germline mutations in DICER1 are nonsense, frameshift, or splice-site mutations leading to premature protein truncation and loss of protein function (PMID: 21266384, 19556464, 25176334). Somatic DICER1 mutations have also been identified, predominantly affecting the region of the protein that mediates the interaction of DICER1 with miRNAs (PMID: 25176334). DICER1 has been identified as a haploinsufficient tumor suppressor gene (PMID: 19903759, 20019750), as monoallelic but biallelic loss of DICER1 causes tumor formation. Consistent with the role of DICER1 as a tumor suppressor, reduced expression of DICER1 correlates with a poor outcome in lung, breast, skin, endometrial and ovarian cancer (PMID: 15723655, 19092150, 19782670, 20210522, 20832293).	True
ENST00000377767	NM_014953.3	ENST00000377767	NM_014953.3	22894	DIS3	False			DIS3, the catalytic subunit of the RNA exosome complex, is recurrently mutated in several cancer types including multiple myeloma.	DIS3 (also Rrp44) is an exoribonuclease that is a member of the RNase II/RNB protein family (PMID: 31342438). DIS3 is the catalytic subunit of the RNA exosome complex, which coordinates 3’ to 5’ degradation of RNA (PMID: 20531389, 21289487). The exosome complex prominently participates in RNA processing and quality control pathways (PMID: 21289487). In addition, DIS3 regulates the maturation of many RNA targets, including the tumor suppressor let-7 miRNAs, which control the translation of oncogenes such as MYC and RAS (PMID: 25925570, 26305418). Recurrent familial and somatic mutations of DIS3 have been found in patients with multiple myeloma (PMID: 21430775, 24434212, 22573403, 25521164, 23396385, 22237025, 30967618). These DIS3 loss-of-function mutations have been shown to interfere with the exonucleolytic activity, causing defects in RNA processing, cellular proliferation, and protein translation (PMID: 24150935). In contrast, DIS3 amplification and overexpression have been detected in several cancer types, including colon cancer and melanoma, suggesting that the consequence of DIS3 alteration may be context-specific (PMID: 23319804, 24478024, 21343389).	True
ENST00000325385	NM_152383.4	ENST00000325385	NM_152383.5	129563	DIS3L2	False			DIS3L2, an RNA exonuclease, is infrequently altered in cancer.	DIS3L2 encodes for an RNA exonuclease that functions in the degradation of structured and aberrant mRNA and noncoding RNA (PMID: 25959823, 27498873). DIS3L2 is dependent on the terminal uridylyl transferases TUT7/4 and the nonsense transcript regulator UPF1 for nonsense-mediated decay function (PMID: 31466720). Germline mutations of DIS3L2 are associated with the congenital overgrowth disorder Perlman syndrome with Wilms tumor susceptibility (PMID: 22306653). The oncogenic function of DIS3L2 is likely tissue-specific. Knockdown of DIS3L2 in cervical cancer cell lines induces chromosomal abnormalities, suggesting that DIS3L2 functions predominantly as a tumor suppressor gene in this context (PMID: 22306653). Conversely, overexpression of DIS3L2 in hepatocellular carcinoma and colorectal cancer cell lines induces cellular proliferation, migration and invasion, suggesting that DIS3L2 functions predominantly as an oncogene in these contexts (PMID: 31331910, 37340282, 33370287).	False
ENST00000373970	NM_012242.2	ENST00000373970	NM_012242.2	22943	DKK1	False			DKK1, a negative regulator of WNT signaling, is overexpressed or downregulated in various cancer types.	DKK1 is an extracellular ligand that is a member of the Dickkopf protein family (PMID: 28979801, 17143291). DKK1 functions as a negative regulator of the WNT signaling pathway by binding to LRP5/6 co-receptors and precluding WNT-mediated activation of downstream signaling (PMID: 28979801, 17143291, 23258168). WNT signaling is a critical developmental pathway with roles in determining cell fate, tissue identity and polarity (PMID:  28218291). DKK1-mediated antagonism of WNT blocks Frizzled receptor binding to LRP5/6 and results in the activation of the β-catenin destruction complex (containing APC, GSK3β and AXIN), which targets β-catenin for degradation (PMID: 23258168). In the absence of WNT signaling, TCF and LEF transcription factors form a repressive complex, leading to inhibition of β-catenin target genes (PMID: 24316024, 23258168). DKK1 also binds to the receptors Kremen1 and Kremen2 to remove the LRP6 co-receptor from the plasma membrane (PMID: 12050670). In addition, DKK1 is involved in the regulation of many cellular functions including developmental patterning, apoptosis, angiogenesis and invasion (PMID: 22807036, 27608843, 28979801, 11702953, 31568519). Somatic mutations in DKK1 in human cancers are relatively uncommon; however, DKK1 is found to be downregulated or overexpressed in distinct cancer subtypes (PMID: 25144498, 18331598, 26101916, 24916146). DKK1 is also an important regulator of bone metastasis (PMID: 28892080). Therefore, DKK1 may have roles as either a tumor suppressor or oncogene depending on the specific cellular context.	False
ENST00000285311	NM_014421.2	ENST00000285311	NM_014421.2	27123	DKK2	False			DKK2, a negative regulator of WNT signaling, is overexpressed or downregulated in various cancer types.	DKK2 is an extracellular ligand that is a member of the Dickkopf protein family (PMID: 28979801, 17143291). DKK2 functions as both a positive and negative regulator of the WNT signaling pathway by binding to LRP5/6 co-receptors (PMID: 24316024, 23258168,12527209). WNT signaling is a critical developmental pathway with roles in determining cell fate, tissue identity and polarity (PMID:  28218291). DKK2-mediated antagonism of WNT blocks Frizzled receptor binding to LRP5/6 and results in the activation of the β-catenin destruction complex (containing APC, GSK3β and AXIN), which targets β-catenin for degradation (PMID: 23258168). In the absence of WNT signaling, TCF and LEF transcription factors form a repressive complex, leading to inhibition of β-catenin target genes (PMID: 24316024, 23258168). DKK2 binds the receptor Kremen2 to remove the LRP6 co-receptor from the plasma membrane; however, even in the absence of Kremen2, DKK2 can activate WNT signaling (PMID: 12527209). DKK2 has also been implicated in the regulation of immune evasion via WNT-independent mechanisms (PMID: 29431745). In addition, DKK2 is involved in the regulation of many cellular functions including developmental patterning, apoptosis, angiogenesis and invasion (PMID: 27431620, 19755393, 21540552, 28979801). Somatic mutations in DKK2 in human cancers are relatively uncommon; however, DKK2 is found to be downregulated or overexpressed in distinct cancer subtypes (PMID: 22964660, 19755393, 24809435, 23204234, 19659606, 27431620) suggesting it may have roles as either a tumor suppressor or oncogene depending on the specific cellular context.	False
ENST00000326932	NM_001018057.1	ENST00000326932	NM_001018057.1	27122	DKK3	False			DKK3, a negative regulator of WNT signaling, is overexpressed or downregulated in various cancer types.	DKK3 is an extracellular ligand that is a member of the Dickkopf protein family (PMID: 28979801, 17143291). Dickkopf proteins predominantly function as negative regulators of the WNT signaling pathway by binding to WNT pathway signaling receptors, such as LRP5/6 (PMID: 24316024, 23258168,12527209). WNT signaling is a critical developmental pathway with roles in determining cell fate, tissue identity, and polarity (PMID:  28218291). Unlike other DKK proteins, the exact role of DKK3 in WNT signaling is not well established. DKK3 interacts with Kremen1 and Kremen2 receptors, which have roles in LRP5/6 internalization, suggesting that DKK3 potentiates WNT activity (PMID: 20370576). DKK3-mediated antagonism of WNT would result in the activation of the β-catenin destruction complex (containing APC, GSK3β and AXIN), which targets β-catenin for degradation (PMID: 23258168). In the absence of WNT signaling, TCF and LEF transcription factors form a repressive complex, leading to inhibition of β-catenin target genes (PMID: 24316024, 23258168). In addition, DKK3 is involved in the regulation of many cellular functions including developmental patterning, apoptosis, immune response, and invasion (PMID: 21268126, 25573172, 28738084, 26278164). Somatic mutations in DKK3 in human cancers are relatively uncommon; however, DKK3 is found to be downregulated or overexpressed in distinct cancer subtypes (PMID: 27801786, 27467270, 27788486, 26093488).	False
ENST00000220812	NM_014420.2	ENST00000220812	NM_014420.2	27121	DKK4	False			DKK4, a negative regulator of WNT signaling, is overexpressed or downregulated in various cancer types.	DKK4 is an extracellular ligand that is a member of the Dickkopf protein family (PMID: 28979801, 17143291). DKK4 functions as a negative regulator of the WNT signaling pathway by binding to LRP5/6 co-receptors and precluding WNT-mediated activation of downstream signaling (PMID: 24316024, 23258168). WNT signaling is a critical developmental pathway with roles in determining cell fate, tissue identity and polarity (PMID:  28218291). DKK4-mediated antagonism of WNT blocks Frizzled receptor binding to LRP5/6 and results in the activation of the β-catenin destruction complex (containing APC, GSK3β and AXIN), which targets β-catenin for degradation (PMID: 23258168). In the absence of WNT signaling, TCF and LEF transcription factors form a repressive complex, leading to inhibition of β-catenin target genes (PMID: 24316024, 23258168). DKK4 also binds to the receptors Kremen1 and Kremen2 to remove the LRP6 co-receptor from the plasma membrane (PMID: 12527209). In addition, DKK4 is involved in the regulation of many cellular functions including developmental patterning, apoptosis, angiogenesis and invasion (PMID: 27272409, 23958302). Somatic mutations in DKK4 in human cancers are relatively uncommon; however, DKK4 is found to be downregulated or overexpressed in distinct cancer subtypes (PMID: 22216841, 17675336, 29904276, 21994129, 26880586, 19059704) suggesting it may have roles as either a tumor suppressor or oncogene depending on the specific cellular context.	False
ENST00000205143	NM_016941.3	ENST00000205143		10683	DLL3	True			DLL3, an inhibitory ligand in the Notch signaling pathway, is frequently overexpressed in small cell lung cancer and other neuroendocrine tumors.	DLL3 is a ligand in the Notch signaling pathway that primarily inhibits neurogenesis (PMID: 16144902, 9272948). DLL3 is most highly expressed in the brain and plays a critical role in embryonic development, particularly somitogenesis, which can be disrupted by germline mutations in DLL3, leading to spondylocostal dysostosis (PMID: 9272948, 10742114, 37323197). Normally, DLL3 is expressed intracellularly and prevents NOTCH1 signalling by sequestering immature NOTCH1 in the Golgi apparatus, preventing its expression on the cell surface (PMID: 16144902, 21147753). Overexpression of DLL3 may contribute to tumor progression by inhibiting Notch signaling, which in turn promotes the PI3K/Akt pathway (PMID: 28007595). Additionally, DLL3 upregulates SNAI1 (Snail), a key factor in cell proliferation in small cell lung cancer (SCLC) (PMID: 30874360). SNAI1 knockdown has been shown to reduce tumor growth in SCLC cells, supporting a NOTCH1-independent oncogenic role for DLL3 (PMID: 30874360). DLL3 expression is particularly relevant in SCLC; 83% of SCLC patients abnormally overexpress DLL3 (PMID: 32745892, 29290251). When DLL3 is highly overexpressed, the protein can migrate to the cell surface, presenting an opportunity for therapeutic targeting (PMID: 27308627). The DLL3-targeting agent Tarlatamab is FDA-approved for the treatment of SCLC regardless of DLL3 alteration status (PMID: 37861218, 36689692, 39558076). DLL3 has also emerged as a potential target in IGH-mutant glioma and neuroendocrine neoplasms (PMID: 30397180, 35983951).	False
ENST00000254322	NM_006145.1	ENST00000254322	NM_006145.1	3337	DNAJB1	False			DNAJB1, a subunit of the heat shock factor 40 (HSP40) complex, is recurrently altered by chromosomal rearrangement in fibrolamellar hepatocellular carcinoma.	DNAJB1 (DNAJ (Hsp40) homolog, subfamily B, member 1) is a member of the HSP40 protein family and has been linked to several cellular processes, such as the proteasome pathway, endoplasmic reticulum (ER) stress and virus infection (PMID:19340594, 22075554, 23400395, 21698289). DNAJB1 interacts with HSP70 and induces its ATPase activity, which stimulates the association between HSP70 and Hsc70-interacting protein (HIP) (PMID: 24309468). A seminal feature of DNAJB1 is the presence of the DNAJB1-PRKACA chimeric transcript in fibrolamellar hepatocellular carcinoma (FLHCC) tumors. Numerous independent studies have confirmed the presence of the fusion gene in 80-100% of FLCs tumor samples (PMID: 25557953, 25698061, 25605237, 25122662, 24578576, 26489647). The fusion encodes a chimeric protein that couples a segment of DNAJB1, with the catalytic domain of protein kinase A (PKA) that confers constitutive kinase activity. Although analyses of a wider array of cancer types are required to more definitively establish the specificity of DNAJB1-PRKACA to FLCs, the current evidence suggests that DNAJB1-PRKACA may be a tissue biomarker for FLCs and if the chimeric protein is secreted into circulation, it may also serve as a plasma biomarker.	False
ENST00000355667	NM_001005360	ENST00000355667	NM_001005360	1785	DNM2	True			DNM2, a GTPase, is infrequently altered in cancer.	DNM2, a member of the dynamin superfamily, encodes for a GTPase that functions in clathrin-independent and -dependent endocytosis and intracellular membrane trafficking (PMID: 20858595). DNM2 regulates the T-cell receptor-mediated signaling pathways and T-cell activation through interaction with VAV1 (PMID: 15696170). Overexpression of DNM2 in various cancer cell lines and models induces cellular proliferation, migration and invasion, suggesting that DNM2 functions predominantly as an oncogene (PMID: 27885263, 21841817). DNM2 amplification has been identified in various types of cancer, including acute lymphoblastic leukemia, prostate cancer and breast cancer (PMID: 27885263, 24402972, 33250680). DNM2 expression is a potential therapeutic target with preclinical studies investigating the efficacy of anti-DNM2 inhibitors in various types of cancer (PMID: 20571068, 21750222).	False
ENST00000340748	NM_001379.2	ENST00000340748	NM_001379.2	1786	DNMT1	True			DNMT1, a DNA methyltransferase, is infrequently altered in various cancer types.	DNMT1 is a DNA methyltransferase that mediates the transfer of methyl groups to CpG sites in DNA (PMID: 21163962, 29033456). DNA methylation at gene promoters predominantly results in gene repression by precluding the binding of important transcriptional machinery (PMID: 23400093). DNMT1 preferentially methylates hemimethylated DNA, namely daughter strands that are newly generated during the cell cycle (PMID: 21163962). DNMT1 plays an important role in a number of physiologic processes such as X chromosome inactivation, genomic imprinting, chromosomal stability, and repression of retrotransposon expression. DNMT1 mutations are rarely found in human cancers; however, DNMT1 overexpression has been observed in colon cancer (PMID: 2014266, PMID: 10463569), gastric cancer (PMID: 14742272), breast cancer (PMID: 14555514), bladder cancer (PMID: 14634451), and acute and chronic myelogenous leukemia (PMID: 11222358). Increased activity of DNMT1 can lead to altered DNA methylation and abnormal transcriptional silencing (PMID: 29033456). The DNMT1 inhibitor azacytidine is FDA-approved for the treatment of patients with specific myelodysplastic syndrome (MDS) subtypes and chronic myelomonocytic leukemia (PMID: 15897554) and may have efficacy in patients with mutations in other epigenetic modifiers that impact DNA methylation state (PMID: 28193779).	False
ENST00000264709	NM_022552.4	ENST00000264709	NM_022552.4	1788	DNMT3A	False			DNMT3A, a tumor suppressor and DNA methyltransferase, is recurrently mutated in acute myeloid leukemia and other hematologic malignancies.	DNMT3A is a DNA methyltransferase that is responsible for establishing de novo genomic DNA methylation at CpG sites. DNA methylation at gene promoters predominantly results in gene repression by precluding the binding of important transcriptional machinery (PMID: 23400093). DNMT3A functions in concert with another de novo methyltransferase, DNMT3B, and a maintenance methyltransferase DNMT1, assisted by non-catalytic subunit DNMT3L (PMID: 21243710). CpG methylation is important for maintaining epigenetic tissue-specific gene expression patterns, genomic imprinting, X-chromosome inactivation, silencing of parasitic DNA sequences and genome integrity (PMID: 12359337, 15215868). Germline mutations in DNMT3A result in Tatton-Brown-Rahman overgrowth syndrome, a disorder associated with intellectual disability (PMID: 24614070), and overexpression has been linked to melanoma and hepatocellular carcinoma (PMID: 24589714). DNMT3A is recurrently mutated in de novo acute myeloid leukemia (AML) (up to 30% of all cases) (PMID: 21067377, 21399634, 22417203, 23634996), and at lower frequencies in secondary acute myeloid leukemia (PMID: 21993668), myeloproliferative neoplasms (PMID: 21537334), myelodysplastic syndromes (PMID: 21415852, 21519343) and in T-cell acute lymphoblastic leukemia (T-ALL) (PMID: 23341344, 23603912, 23687089). Cancers with enhanced activity of DNMT3A may be sensitive to DNA methyltransferase inhibitors (PMID: 29033456).	True
ENST00000328111	NM_006892.3	ENST00000328111	NM_006892.3	1789	DNMT3B	False			DNMT3B, a DNA methyltransferase, is altered by mutation or amplification in various cancer types.	DNMT3B is a DNA methyltransferase that is responsible for establishing de novo genomic DNA methylation at CpG sites (PMID: 21243710). DNA methylation at gene promoters predominantly results in gene repression by precluding the binding of important transcriptional machinery (PMID: 23400093). DNMT3B functions in concert with another de novo methyltransferase, DNMT3A, and a maintenance methyltransferase DNMT1, assisted by non-catalytic subunit DNMT3L (PMID: 21243710). CpG methylation is important for maintaining epigenetic tissue-specific gene expression patterns, genomic imprinting, X-chromosome inactivation, silencing of parasitic DNA sequences and genome integrity (PMID: 12359337, 15215868). Germline biallelic mutations in DNMT3B are associated with ICF (immunodeficiency, centromeric instability and facial abnormalities) syndrome (PMID: 10647011, 16501171). Rare mutations in the DNMT3B gene have been identified and dysregulated expression of DNMTs and/or aberrant DNA methylation patterns are found in various cancer types (PMID: 21941284, 22037554, 22895193). Cancers with enhanced activity of DNMT3B may be sensitive to DNA methyltransferase inhibitors (PMID: 29033456).	True
ENST00000398665	NM_032482.2	ENST00000398665	NM_032482.2	84444	DOT1L	True			DOT1L, a histone methyltransferase, is infrequently mutated in various cancer types.	DOT1L is a histone H3K79 methyltransferase, methylating the histone 3 lysine 79 residue (PMID:12123582). H3K79 methylation is associated with DNA damage response to double strand breaks (PMID:15525939). This modification has also been implicated in diverse cellular and developmental processes including cell division, embryonic development, meiosis, and hematopoiesis (PMID:21724828, 24526115). H3K79 methylation modifies chromatin structure and can promote active transcription (PMID:18285465). In leukemias, this modification promotes active transcription by preventing the binding of the inhibitory Sirtuin1 (SIRT1) complex (PMID:25822366). In mixed lineage leukemia (MLL) translocation leukemias, DOT1L was shown to be important for the transformation activity of the MLL fusion protein, and inhibitors of DOT1L have been employed in the treatment of this subset of leukemias (PMID:18977325, 15851025, 21741596). In breast cancer, DOT1L has been shown to cooperate with a c-Myc-p300 complex to promote epithelial to mesechymal transition and clinically is associated with more aggressive disease (PMID:26199140). Mutations in DOT1L have been identified in large-scale sequencing efforts of solid tumors including colon, small cell lung cancer, and squamous head and neck cancer (PMID:22810696, 26168399, 25056374).	False
ENST00000370192	NM_000110	ENST00000370192	NM_000110	1806	DPYD	False			DPYD, a pyrimidine catabolic enzyme, is infrequently mutated in cancer.	DPYD encodes for dihydropyrimidine dehydrogenase, which is the rate-limiting factor in uracil and thymidine catabolism (PMID: 36172669). Deletions in the gene result in loss of the enzyme’s activity, which has been associated with delayed motor skill development, seizures, and intellectual disability linked to congenital thymine-uraciluria (PMID: 36661700, 35607723). Loss of the gene also increases the risk of toxicity in cancer patients receiving 5-fluorouracil chemotherapy (PMID: 35607723, 36172669, 36757428,36661700). 5-fluorouracil and its oral prodrugs capecitabine and tegafur are used in the treatment of several cancers including colon, stomach, and breast (PMID: 36757428, 36661700, 36172669). Decreased dihydropyrimidine dehydrogenase activity increases exposure to both 5-fluorouracil and its cytotoxic metabolites, resulting in adverse events (PMID: 36757428, 35607723).	False
ENST00000344624	NM_013235.4	ENST00000344624	NM_013235.4	29102	DROSHA	False			DROSHA, a ribonuclease involved in microRNA biogenesis, is mutated or amplified at low frequencies in various cancers.	DROSHA is an RNA-specific endoribonuclease III involved in the initial steps of microRNA (miRNA) biogenesis. DROSHA, forming a complex with DGCR8, cleaves the double-stranded stem-loop structured pri-miRNA into pre-miRNA, which is subsequently exported to the cytosol where it can be further processed, ultimately leading to specific mRNA silencing (PMID: 14508493, 19239886, 23654304). DROSHA has been reported to be both up- and downregulated in several cancers, suggesting tissue-specific mechanisms in tumorigenesis (PMID: 20832293, 21559780, 20210522). Somatic mutations in DROSHA are found in a small proportion of cancers including in pediatric Wilm’s tumors (PMID: 25670083, 25190313) and DROSHA amplifications have been identified in lung adenocarcinoma (PMID: 26156018). DROSHA mutations are predicted to function through a dominant negative mechanism and globally inhibit miRNA biogenesis (PMID: 25670083).	False
ENST00000257600	NM_004416.2	ENST00000257600	NM_004416.2	1840	DTX1	False			DTX1, a ubiquitin E3 ligase and transcriptional regulator, is recurrently altered by mutation in lymphomas.	DTX1 (also Deltex-1) is an E3 ubiquitin ligase that also functions as a transcriptional regulator (PMID: 12670957). DTX1 ubiquitinates substrates, including MEKK1 and C-FLIP, and targets them to the proteasome for degradation (PMID: 15684388, 29374180). High expression of DTX1 is found in germinal center B cells, marginal zone B cells, lymphoid cells and the nervous system (PMID: 22891273, 15684394, 26714454). The activity of DTX1 is important for regulation of T cell anergy and FOXP3 activity in regulatory T cells (PMID: 25695215, 19592273). In addition, DTX1 functions as a transcriptional regulator of Notch in association with the coactivator p300 to inhibit neural progenitor (PMID: 11564735, 14567914), B, NK, and T cell differentiation (PMID: 15187027, 27048872). The mechanism by which DTX1 regulates NOTCH signaling is not fully delineated; however, DTX1 may inhibit NOTCH by targeting the receptor for endosomal recycling (PMID: 29440432) and DTX1 itself is a target of NOTCH transcriptional regulation (PMID: 9056690). Somatic DTX1 mutations are found in patients with splenic marginal zone lymphoma (PMID: 22891273) and diffuse large B cell lymphomas (PMID: 25171927). These DTX1 alterations are predicted to disrupt Notch signaling and contribute to abnormal hematopoietic differentiation (PMID: 22891273, 25171927). DTX1 expression is also downregulated in several tumor types, including head and neck cancers (PMID: 28146432).	True
