grch37Isoform	grch37RefSeq	grch38Isoform	grch38RefSeq	entrezGeneId	hugoSymbol	oncogene	highestSensitiveLevel	highestResistanceLevel	summary	tsg	highestResistancLevel
ENST00000262053	NM_005171.4	ENST00000262053	NM_005171.4	466	ATF1	TRUE			ATF1, a transcription factor, is rarely altered by chromosomal rearrangements in a variety of cancer types.	FALSE	
ENST00000278616	NM_000051.3	ENST00000278616	NM_000051.3	472	ATM	FALSE	1		ATM, a kinase involved in DNA damage response, is inactivated in various solid and hematologic malignancies. Germline ATM mutations are a defining feature of ataxia telangiectasia syndrome, a neurodegenerative, autosomal disorder that predisposes to various cancers.	TRUE	
ENST00000369762	NM_001183.5	ENST00000369762	NM_001183.5	537	ATP6AP1	FALSE			ATP6AP1, a V-ATPase accessory protein involved in organelle acidification, is recurrently mutated in follicular lymphomas.	FALSE	
ENST00000276390	NM_001693.3	ENST00000276390	NM_001693.3	526	ATP6V1B2	FALSE			ATP6V1B2, a component of the V-ATPase complex, is recurrently mutated in follicular lymphoma.	TRUE	
ENST00000350721	NM_001184.3	ENST00000350721	NM_001184.3	545	ATR	FALSE			ATR, a tumor suppressor involved in DNA damage repair, is mutated in various cancer types.	TRUE	
ENST00000373344	NM_000489.3	ENST00000373344	NM_000489.3	546	ATRX	FALSE			ATRX, a tumor suppressor involved in transcriptional regulation, is infrequently altered in cancer.	TRUE	
ENST00000377617	NM_002973.3	ENST00000550104	NM_002973.3	6311	ATXN2	FALSE			ATXN2, an RNA binding protein, is infrequently mutated in a diverse range of human cancers.	TRUE	
ENST00000295900	NM_000333.3	ENST00000295900	NM_000333.3	6314	ATXN7	TRUE			ATXN7, a transcriptional regulator that mediates chromatin remodeling and deubiquitination, is recurrently altered by mutation and fusion in thyroid, colorectal and breast cancers.	FALSE	
ENST00000312783	NM_003600.2	ENST00000312783	NM_003600.2	6790	AURKA	TRUE			AURKA, an intracellular kinase, is altered by mutation, amplification or overexpression in various cancer types including breast and colorectal cancers.	FALSE	
ENST00000585124	NM_004217.3	ENST00000585124	NM_004217.3	9212	AURKB	TRUE			AURKB, an intracellular kinase, is infrequently altered in cancer.	FALSE	
ENST00000262320	NM_003502.3	ENST00000262320	NM_003502.3	8312	AXIN1	FALSE			AXIN1, a tumor suppressor involved in WNT signaling, is mutated at low frequencies in various cancer types.	TRUE	
ENST00000307078	NM_004655.3	ENST00000307078	NM_004655.3	8313	AXIN2	FALSE			AXIN2, a tumor suppressor involved in WNT signaling, is mutated at low frequencies in various cancer types.	TRUE	
ENST00000301178	NM_021913.4	ENST00000301178	NM_021913.4	558	AXL	TRUE			AXL, a receptor tyrosine kinase, is altered by mutation, amplification or overexpression in various cancer types.	FALSE	
ENST00000558401	NM_004048.2	ENST00000559916	NM_004048.2	567	B2M	FALSE			B2M, a tumor suppressor and regulator of the immune system, is inactivated by mutation or deletion in various cancer types including non-Hodgkin's lymphoma.	TRUE	
ENST00000359435	NM_001033549.1	ENST00000359435	NM_001033549.1	29086	BABAM1	FALSE			BABAM1, a protein involved in the DNA damage response, is infrequently altered in cancer.	FALSE	
ENST00000257749	NM_001170794.1	ENST00000257749	NM_001170794.1	60468	BACH2	FALSE			BACH2, a transcription factor important in immune cell differentiation, is infrequently mutated in a diverse range of human cancers.	TRUE	
ENST00000460680	NM_004656.3	ENST00000460680	NM_004656.3	8314	BAP1	FALSE			BAP1 is a tumor suppressor and deubiquitinating enzyme. Germline mutations of BAP1 predispose to various cancer types, including malignant mesothelioma, uveal and cutaneous melanoma, and renal cell carcinoma.	TRUE	
ENST00000260947	NM_000465.2	ENST00000260947	NM_000465.2	580	BARD1	FALSE	1		BARD1, a tumor suppressor involved in the DNA damage response, is altered by mutation in breast and ovarian cancers.	TRUE	
ENST00000449228	NM_001127240.2	ENST00000449228	NM_001127240.2	27113	BBC3	FALSE			BBC3, a pro-apoptotic protein, is infrequently altered in cancer.	TRUE	
ENST00000370580	NM_003921.4	ENST00000648566	NM_003921.4	8915	BCL10	FALSE			BCL10, a tumor suppressor and pro-apoptotic protein, is infrequently altered in cancer.	TRUE	
ENST00000357195	NM_138576.3	ENST00000357195	NM_138576.3	64919	BCL11B	FALSE			BCL11B, a transcription factor expressed in T cells and the central nervous system, is altered by mutation, deletion, or chromosomal rearrangement in hematopoietic malignancies.	TRUE	
ENST00000333681	NM_000633.2	ENST00000333681	NM_000633.2	596	BCL2	TRUE			BCL2, an anti-apoptotic protein, is frequently altered in non-Hodgkin lymphomas.	FALSE	
ENST00000307677	NM_138578.1	ENST00000307677	NM_138578.1	598	BCL2L1	FALSE			BCL2L1, a regulator of apoptosis, is altered by mutation or amplification in various cancer types including colorectal cancer.	FALSE	
ENST00000393256	NM_138621.4	ENST00000393256	NM_138621.4	10018	BCL2L11	FALSE			BCL2L11, a tumor suppressor and pro-apoptotic protein, is altered by mutation in various cancer types.	TRUE	
ENST00000232014	NM_001706.4	ENST00000232014	NM_001706.4	604	BCL6	TRUE			BCL6, a transcriptional repressor involved in immune cell development, is frequently altered by chromosomal rearrangement in lymphomas.	FALSE	
ENST00000234739	NM_004326.3	ENST00000234739	NM_004326.3	607	BCL9	TRUE			BCL9, a transcriptional adaptor protein, is recurrently altered by chromosomal translocations in hematologic malignancies.	FALSE	
ENST00000378444	NM_001123385.1	ENST00000378444	NM_001123385.1	54880	BCOR	FALSE			BCOR, a transcriptional repressor, is altered in various solid and hematologic malignancies including acute myeloid leukemia.	TRUE	
ENST00000218147		ENST00000218147	NM_021946.4	63035	BCORL1	FALSE			BCORL1, a transcriptional repressor, is recurrently mutated in hematopoietic malignancies, astrocytomas, and intracranial germ cell tumors.	TRUE	
ENST00000305877	NM_004327.3	ENST00000305877	NM_004327.3	613	BCR	TRUE			BCR, a signaling molecule, is recurrently altered by chromosomal rearrangement in chronic myeloid leukemia and other hematopoietic malignancies.	FALSE	
ENST00000263464	NM_182962.2	ENST00000263464	NM_182962.2	330	BIRC3	FALSE			BIRC3, an anti-apoptotic protein, is altered in various cancer types.	FALSE	
ENST00000355112	NM_000057.2	ENST00000355112	NM_000057.2	641	BLM	FALSE			BLM is a tumor suppressor involved in DNA repair. Germline mutations of BLM are associated with Bloom syndrome and predispose to certain cancers.	TRUE	
ENST00000372037	NM_004329.2	ENST00000372037	NM_004329.2	657	BMPR1A	FALSE			BMPR1A is a transmembrane receptor kinase. Germline mutations of BMPR1A are associated with juvenile intestinal polyposis and Cowden syndrome.	TRUE	
ENST00000288602	NM_004333.4	ENST00000646891	NM_004333.4	673	BRAF	TRUE	1		BRAF, an intracellular kinase, is frequently mutated in melanoma, thyroid and lung cancers among others.	FALSE	
ENST00000357654	NM_007294.3	ENST00000357654	NM_007294.3	672	BRCA1	FALSE	1		BRCA1, a tumor suppressor involved in the DNA damage response, is mutated in various cancer types.	TRUE	
ENST00000380152	NM_000059.3	ENST00000380152	NM_000059.3	675	BRCA2	FALSE	1		BRCA2, a tumor suppressor involved in the DNA damage response, is mutated in various cancer types.	TRUE	
ENST00000263377	NM_058243.2	ENST00000263377	NM_058243.2	23476	BRD4	TRUE			BRD4, a transcriptional coactivator, is altered by amplification or chromosomal rearrangement in various cancer types.	FALSE	
ENST00000259008	NM_032043.2	ENST00000259008	NM_032043.2	83990	BRIP1	FALSE	1		BRIP1 is a tumor suppressor involved in DNA repair. Germline mutations of BRIP1 are associated with Fanconi anemia and predispose to certain cancers.	TRUE	
ENST00000256015	NM_001731.2	ENST00000256015	NM_001731.2	694	BTG1	FALSE			BTG1, an adaptor molecule that regulates transcription factor binding, is recurrently altered by deletions and mutations in hematopoietic malignancies.	TRUE	
ENST00000308731	NM_000061.2	ENST00000308731	NM_000061.2	695	BTK	TRUE		R1	BTK, an intracellular kinase, is overexpressed in B-cell malignancies.	FALSE	R1
ENST00000316448	NM_004343.3	ENST00000316448	NM_004343.3	811	CALR	TRUE			CALR, a calcium-binding protein, is altered in various solid and hematologic malignancies including myeloproliferative neoplasms.	FALSE	
ENST00000396946	NM_032415.4	ENST00000396946	NM_032415.4	84433	CARD11	TRUE			CARD11, a scaffolding protein, is altered in various cancer types including skin cancer and diffuse large B-cell lymphoma.	FALSE	
ENST00000327064	NM_199141.1	ENST00000327064	NM_199141.1	10498	CARM1	FALSE			CARM1, a methyltransferase, is overexpressed in various cancer types.	FALSE	
ENST00000358485	NM_001080125.1	ENST00000358485	NM_001080125.1	841	CASP8	FALSE			CASP8, a tumor suppressor and pro-apoptotic protein, is inactivated by mutation or deletion in various cancer types.	TRUE	
ENST00000412916	NM_022845.2	ENST00000412916	NM_022845.2	865	CBFB	FALSE			CBFB, a protein involved in transcriptional activation, is altered by chromosomal rearrangement in a subset of acute myeloid leukemia.	TRUE	
ENST00000264033	NM_005188.3	ENST00000264033	NM_005188.3	867	CBL	FALSE			CBL, a tumor suppressor and ubiquitin ligase, is inactivated by mutation or deletion in various cancer types including myeloid malignancies.	TRUE	
ENST00000276014	NM_033031.2	ENST00000276014	NM_033031.2	85417	CCNB3	TRUE			CCNB3, a protein involved in cell cycle control, is recurrently altered by mutation, amplification or deletion in various cancer types.	FALSE	
ENST00000227507	NM_053056.2	ENST00000227507	NM_053056.2	595	CCND1	TRUE			CCND1, a regulator of the cell cycle, is amplified in various cancer types including breast, head and neck, and bladder cancers.	FALSE	
ENST00000261254	NM_001759.3	ENST00000261254	NM_001759.3	894	CCND2	TRUE			CCND2, a regulator of the cell cycle, is amplified in various cancer types.	FALSE	
ENST00000372991	NM_001760.3	ENST00000372991	NM_001760.3	896	CCND3	TRUE			CCND3, a regulator of the cell cycle, is amplified in various cancer types.	FALSE	
ENST00000262643	NM_001238.2	ENST00000262643	NM_001238.2	898	CCNE1	TRUE			CCNE1, a regulator of the cell cycle, is amplified in various cancer types.	FALSE	
ENST00000576892	NM_152274.4	ENST00000576892	NM_152274.4	92002	CCNQ	FALSE			CCNQ, a cyclin-related gene, is altered by mutation and deletion in the germline of patients with STAR syndrome.	TRUE	
ENST00000381577	NM_014143.3	ENST00000381577	NM_014143.3	29126	CD274	TRUE			CD274 (also known as PD-L1) is an immune receptor ligand. Expression of PD-L1 may help predict response to immunotherapies targeted against PD-L1 and its receptor, PD-1.	FALSE	
ENST00000318443	NM_001024736.1	ENST00000318443	NM_001024736.1	80381	CD276	TRUE			CD276, a cell surface protein involved in the immune response, is overexpressed in various cancer types.	FALSE	
ENST00000324106	NM_006139.3	ENST00000324106	NM_006139.3	940	CD28	TRUE			CD28, a costimulatory receptor expressed by T cells, is infrequently altered in a diverse range of human cancers.	FALSE	
ENST00000369489	NM_001779.2	ENST00000369489	NM_001779.2	965	CD58	FALSE			CD58, a cell surface adhesion molecule expressed in immune cells, is recurrently altered by mutation and deletion in hematopoietic malignancies.	TRUE	
ENST00000221972	NM_001783.3	ENST00000221972	NM_001783.3	973	CD79A	TRUE			CD79A, a component of the B-cell receptor, is altered at low frequencies across various solid and hematologic malignancies.	FALSE	
ENST00000392795	NM_001039933.1	ENST00000392795	NM_001039933.1	974	CD79B	TRUE			CD79B, a component of the B-cell antigen receptor, is recurrently altered in diffuse large B-cell lymphoma.	FALSE	
ENST00000344548	NM_001791.3	ENST00000344548	NM_001791.3	998	CDC42	TRUE			CDC42, a small GTPase, is infrequently altered in cancer.	FALSE	
ENST00000367435	NM_024529.4	ENST00000367435	NM_024529.4	79577	CDC73	FALSE			CDC73, a tumor suppressor involved in transcriptional regulation, is altered at low frequencies in various cancer types.	TRUE	
ENST00000261769	NM_004360.3	ENST00000261769	NM_004360.3	999	CDH1	FALSE			CDH1 (E-cadherin), a tumor suppressor involved in cell adhesion, is altered by mutation or deletion in various cancer typess, most frequently in breast and esophagogastric cancers.	TRUE	
ENST00000447079	NM_016507.2	ENST00000447079	NM_016507.2	51755	CDK12	FALSE	1		CDK12, a cyclin dependent kinase, is recurrently mutated in metastatic prostate and serous ovarian cancers.	TRUE	
ENST00000257904	NM_000075.3	ENST00000257904	NM_000075.3	1019	CDK4	TRUE	2		CDK4, an intracellular kinase, is altered by amplification or mutation in various cancer types including soft tissue sarcomas and gliomas.	FALSE	
ENST00000265734	NM_001145306.1	ENST00000265734	NM_001145306.1	1021	CDK6	TRUE			CDK6, an intracellular kinase, is amplified in various cancer types.	FALSE	
ENST00000381527	NM_001260.1	ENST00000381527	NM_001260.1	1024	CDK8	TRUE			CDK8, an intracellular kinase, is amplified in various cancer types.	FALSE	
ENST00000244741	NM_078467.2	ENST00000244741	NM_078467.2	1026	CDKN1A	FALSE			CDKN1A, a tumor suppressor and cell cycle regulator, is altered in various cancer types and is recurrently mutated in bladder cancer.	TRUE	
ENST00000228872	NM_004064.3	ENST00000228872	NM_004064.3	1027	CDKN1B	FALSE			CDKN1B, a tumor suppressor and cell cycle regulator, is altered in various cancer types.	TRUE	
ENST00000304494	NM_000077.4	ENST00000304494	NM_000077.4	1029	CDKN2A	FALSE	4		The CDKN2A gene encodes two proteins, p16INK4A and p14ARF, that regulate the cell growth and survival. CDKN2A is altered by mutation and/or deletion in a broad range of solid and hematologic cancers.	TRUE	
ENST00000276925	NM_004936.3	ENST00000276925	NM_004936.3	1030	CDKN2B	FALSE			CDKN2B, a tumor suppressor and cell cycle regulator, is inactivated by mutation or deletion in various cancer types.	TRUE	
ENST00000262662	NM_078626.2	ENST00000262662	NM_078626.2	1031	CDKN2C	FALSE			CDKN2C, a tumor suppressor and cell cycle regulator, is infrequently altered in cancer.	TRUE	
ENST00000498907	NM_004364.3	ENST00000498907	NM_004364.3	1050	CEBPA	FALSE			CEBPA, a tumor suppressor and transcription factor, is recurrently altered by mutation in acute myeloid leukemia.	TRUE	
ENST00000335756	NM_001809.3	ENST00000335756	NM_001809.3	1058	CENPA	FALSE			CENPA, a histone variant in centromere-associated chromatin, is altered by amplification and overexpression in various cancer types.	FALSE	
ENST00000428830	NM_001274.5	ENST00000428830	NM_001274.5	1111	CHEK1	FALSE	1		CHEK1, an intracellular kinase, is overexpressed in various solid and hematologic malignancies.	TRUE	
ENST00000328354	NM_007194.3	ENST00000404276	NM_007194.3	11200	CHEK2	FALSE	1		CHEK2, a tumor suppressor and intracellular kinase, is altered in various cancer types. Germline mutations of CHEK2 are associated with an increased risk of certain cancers including breast, prostate and colorectal cancers.	TRUE	
ENST00000575354	NM_015125.3	ENST00000575354	NM_015125.3	23152	CIC	FALSE			CIC, a tumor suppressor and transcriptional repressor, is recurrently altered by mutation, deletion, and translocation, most frequently in oligodendrogliomas.	TRUE	
ENST00000324288		ENST00000324288	NM_000246.3	4261	CIITA	FALSE			CIITA, a transcriptional coactivator in immune cells, is recurrently altered by deletion, mutation and chromosomal rearrangement in lymphomas.	TRUE	
ENST00000338099	NM_001099642.1	ENST00000338099	NM_001099642.1	55783	CMTR2	FALSE			CMTR2, an RNA cap methyltransferase, is recurrently altered by mutation in non-small cell lung cancer.	TRUE	
ENST00000367669	NM_022457.5	ENST00000367669	NM_022457.5	64326	COP1	TRUE			COP1 encodes an E3 ubiquitin-protein ligase involved in the c-Jun signaling pathway that affects apoptosis, cell cycle, and DNA repair. COP1 is commonly overexpressed in several cancer types, including gastric, human hepatocellular carcinoma, breast, and ovarian cancer and promotes cell proliferation, transformation, and tumor progression.	FALSE	
ENST00000231948	NM_016302.3	ENST00000231948	NM_016302.3	51185	CRBN	FALSE			CRBN, a ubiquitin ligase, is recurrently altered by mutation or downregulation in multiple myelomas.	TRUE	
ENST00000432329	NM_134442.3	ENST00000432329	NM_134442.3	1385	CREB1	TRUE			CREB1, a transcription factor, is rarely altered by chromosomal rearrangements in soft tissue sarcomas.	FALSE	
ENST00000262367	NM_004380.2	ENST00000262367	NM_004380.2	1387	CREBBP	FALSE			CREBBP, a tumor suppressor and transcriptional co-activator, is frequently inactivated in hematologic malignancies.	TRUE	
ENST00000354336	NM_005207.3	ENST00000354336	NM_005207.3	1399	CRKL	TRUE			CRKL, an adapter protein, is overexpressed in various cancer types.	FALSE	
ENST00000381566	NM_022148.2	ENST00000381566	NM_022148.4	64109	CRLF2	TRUE			CRLF2, a cytokine receptor, is recurrently altered by chromosomal rearrangement in B-cell acute lymphoblastic leukemia.	FALSE	
ENST00000438362	NM_001242891.1	ENST00000438362	NM_001242891.1	7812	CSDE1	FALSE			CSDE1, an RNA-binding protein, is altered by mutation in various cancer types, including neuroendocrine tumors.	FALSE	
ENST00000286301	NM_005211.3	ENST00000286301	NM_005211.3	1436	CSF1R	FALSE			CSF1R, a cytokine receptor, is altered in various cancer types.	FALSE	
ENST00000361632	NM_000760.3	ENST00000361632	NM_000760.3	1441	CSF3R	TRUE			CSF3R, a transmembrane receptor, is frequently mutated in chronic neutrophilic leukemia and atypical chronic myeloid leukemia.	FALSE	
ENST00000264010	NM_006565.3	ENST00000264010	NM_006565.3	10664	CTCF	FALSE			CTCF, a tumor suppressor and chromatin binding factor, is mutated in various cancers, most frequently in endometrial cancer.	TRUE	
ENST00000302823	NM_005214.4	ENST00000648405	NM_005214.4	1493	CTLA4	TRUE			CTLA4, a transmembrane receptor, is infrequently altered in cancer and is a promising target for immune blockade therapies.	FALSE	
ENST00000349496	NM_001904.3	ENST00000349496	NM_001904.3	1499	CTNNB1	TRUE			CTNNB1 (β-catenin), a transcriptional activator, is recurrently mutated in various cancers including endometrial and hepatocellular cancers.	FALSE	
ENST00000361367	NM_014633.4	ENST00000361367	NM_014633.4	9646	CTR9	FALSE			CTR9, a component of the PAF1 complex involved in RNA polymerase II regulation, is recurrently altered by mutation in Wilms tumor.	TRUE	
ENST00000264414	NM_003590.4	ENST00000264414	NM_003590.4	8452	CUL3	FALSE			CUL3, an E3 ubiquitin ligase component, is altered by mutation in non-small cell lung cancer.	TRUE	
ENST00000292535	NM_181552.3	ENST00000292535	NM_181552.3	1523	CUX1	FALSE			CUX1, a transcription factor, is frequently altered in several cancers types by deletion, mutation or translocation.	TRUE	
ENST00000241393	NM_003467.2	ENST00000241393	NM_003467.2	7852	CXCR4	TRUE			CXCR4, a chemokine receptor, is altered in various solid and hematologic malignancies including lymphoplasmacytic lymphoma.	FALSE	
ENST00000342995	NM_203407.2	ENST00000342995		340602	CXORF67	TRUE			CXorf67, a polycomb binding protein, is recurrently altered by rearrangement and mutation in endometrial stromal sarcomas and posterior fossa ependymomas, respectively.	FALSE	
ENST00000398568	NM_001042355.1	ENST00000398568	NM_001042355.1	1540	CYLD	FALSE			CYLD is a tumor suppressor and deubiquitination enzyme that negatively regulates the NF-κB pathway. Germline mutations of CYLD are associated with Brooke-Spiegler syndrome, familial cylindromas, multiple familial tricoepithelioma, and spiradenomas.	TRUE	
ENST00000260433	NM_000103.3	ENST00000396402	NM_000103.4	1588	CYP19A1	TRUE			CYP19A1, an enzyme that controls estrogen biosynthesis, is altered by mutation and amplification in aromatase inhibitor-resistant ER+ breast cancers. Germline mutations in CYP19A1 are found in aromatase excess and deficiency syndromes.	FALSE	
ENST00000282018	NM_020377.2	ENST00000282018	NM_020377.2	57105	CYSLTR2	TRUE			CYSLTR2, a G-protein-coupled receptor, is recurrently altered in uveal melanoma.	FALSE	
ENST00000374542	NM_001141970.1	ENST00000266000	NM_001141970.1	1616	DAXX	FALSE			DAXX, a transcriptional co-repressor, is inactivated in various cancers including pancreatic neuroendocrine tumors.	TRUE	
ENST00000233078	NM_018959.3	ENST00000233078	NM_018959.3	26528	DAZAP1	FALSE			DAZAP1, an RNA binding protein, is recurrently altered by rearrangement in acute lymphoblastic leukemias.	FALSE	
ENST00000292782	NM_020640.2	ENST00000292782	NM_020640.2	54165	DCUN1D1	TRUE			DCUN1D1, a component of an E3 ligases complex, is amplified in squamous cell carcinomas.	FALSE	
ENST00000346473	NM_001195057.1	ENST00000346473	NM_001195057.1	1649	DDIT3	FALSE			DDIT3, a transcription factor, is infrequently mutated by chromosomal rearrangements in various types of sarcomas.	FALSE	
ENST00000367921	NM_006182.2	ENST00000367921	NM_006182.2	4921	DDR2	TRUE			DDR2, a receptor tyrosine kinase, is mutated at low frequencies in various cancers.	FALSE	
ENST00000399959	NM_001356.4	ENST00000478993	NM_001356.4	1654	DDX3X	FALSE			DDX3X, an RNA helicase, is recurrently altered by mutations in several cancer types, including medulloblastoma and chronic lymphocytic leukemia.	TRUE	
ENST00000505374	NM_024415.2	ENST00000505374	NM_024415.2	54514	DDX4	TRUE			DDX4, an RNA helicase, is altered by overexpression in ovarian cancers.	FALSE	
ENST00000507955	NM_016222.2	ENST00000330503	NM_016222.4	51428	DDX41	FALSE			DDX41, an RNA helicase involved in innate immunity, is recurrently altered by mutation in hematopoietic malignancies. Germline mutations of DDX41 predispose to myelodysplastic syndromes and acute myeloid leukemia.	TRUE	
ENST00000397239	NM_003472.3	ENST00000652689	NM_003472.4	7913	DEK	TRUE			DEK, a DNA binding and chromatin regulatory protein, is recurrently altered by chromosomal rearrangement in acute myeloid leukemia.	FALSE	
